id,report_date,campaign_id,campaign_name,campaign_status,start_date,end_date,country,primary_region,secondary_region,dma_code,dma_name,imps_won,clicks,ctr,total_ecpm,total_ecpc,total_ecpa,ctc,vtc,total_conversions,click_cvr,view_cvr,total_cvrm,ctc_revenue,vtc_revenue,total_revenue,media_spend,data_spend,total_spend,audio_video_starts,complete_25,complete_50,complete_75,complete_100,completion_rate,ecpcv,companion_imps_won,companion_clicks,companion_ctc,companion_ctc_revenue,brand_id,brand_name,owner_key,updated_at
378,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Georgia,Unknown,524,"Atlanta, GA",190,0,0.0000,11.216066,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,2.010418,0.120634,2.131052,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
388,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Georgia,Unknown,561,"Jacksonville, FL",2,0,0.0000,5.440512,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.010342,0.000539,0.010881,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
398,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Georgia,Unknown,575,"Chattanooga, TN",1,0,0.0000,10.827852,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.010289,0.000539,0.010828,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
408,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Georgia,Unknown,606,"Dothan, AL",2,0,0.0000,7.606074,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.014508,0.000704,0.015212,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
418,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Hawaii,Unknown,744,"Honolulu, HI",7,0,0.0000,6.629706,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.043672,0.002737,0.046409,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
428,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Idaho,Unknown,757,"Boise, ID",4,0,0.0000,10.604556,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.039826,0.002593,0.042419,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
438,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Idaho,Unknown,758,"Idaho Falls/Pocatello, ID",3,0,0.0000,8.656378,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.024207,0.001761,0.025969,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
448,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Idaho,Unknown,881,"Spokane, WA",1,0,0.0000,7.092148,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.006660,0.000433,0.007092,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
458,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Illinois,Unknown,0,"Unknown DMA",3,0,0.0000,13.932656,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.039262,0.002537,0.041798,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
468,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Illinois,Unknown,602,"Chicago, IL",61,0,0.0000,10.663383,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.613337,0.037129,0.650467,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
478,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Illinois,Unknown,609,"Saint Louis, MO",3,0,0.0000,6.546330,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.018766,0.000874,0.019639,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
488,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Illinois,Unknown,610,"Rockford, IL",4,0,0.0000,7.499748,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.028108,0.001891,0.029999,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
498,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Illinois,Unknown,648,"Champaign/Springfield/Decatur, IL",8,0,0.0000,11.290378,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.085120,0.005202,0.090322,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
